models_tfidf-1,accuracy_tfidf-1,predict_time-tfidf-1
svc,0.867751217352811,43.594560861587524
dtc,0.729858344400177,0.0036039352416992188
mnb,0.8174524125719345,0.014068841934204102
bnb,0.6968791500664011,0.012914896011352539
knc,0.8063302346170872,22.143911123275757
rf,0.8487162461266047,1.5198159217834473
abc,0.7996901283753873,0.07214784622192383
bc,0.8516489597166887,0.9737379550933838
etc,0.8543050022133688,1.8291330337524414
gbdt,0.7679836210712705,0.018728017807006836
xgb,0.8244798583444002,0.12280821800231934